Date,Symbols,Close,High,Low,Open,Volume
2020-07-24,AMZN,150.445,151.579,144.4,146.5,112648260.0
2020-07-24,GOOGL,75.4105,75.7714,74.3795,74.9595,29907620.0
2020-07-24,META,230.71,233.49,226.9,230.19,18325813.0
2020-07-24,PFE,34.4076,34.8556,34.1021,34.7463,35172008.940474
2020-07-24,BNTX,83.3705,85.8764,79.5768,85.4802,7177913.2868659
2020-07-24,MRNA,73.21,73.9,66.54,69.05,27797477.0
2020-07-23,AMZN,149.328,154.914,148.5,154.914,113138120.0
2020-07-23,GOOGL,75.8375,78.5175,75.4295,78.2965,33909960.0
2020-07-23,META,232.6,242.42,231.75,239.63,21771802.0
2020-07-23,PFE,35.0947,36.0159,34.8829,35.8432,61931312.531581
2020-07-23,BNTX,87.6692,100.189,86.1736,96.5872,16052225.737585
2020-07-23,MRNA,75.33,82.68,72.2,82.05,29288088.0
2020-07-22,AMZN,154.996,157.5,153.263,156.25,82084500.0
2020-07-22,GOOGL,78.2425,78.349,77.1615,77.7855,24482000.0
2020-07-22,META,239.87,241.9,238.12,240.26,15427885.0
2020-07-22,PFE,35.2313,35.3855,34.2808,34.9287,94191018.930694
2020-07-22,BNTX,103.18,103.993,92.7604,98.2478,13950282.2923
2020-07-22,MRNA,83.225,84.12,79.11,79.61,27274018.0
2020-07-21,AMZN,156.914,162.029,155.286,161.624,122699300.0
2020-07-21,GOOGL,77.796,79.3525,77.631,79.2515,27554360.0
2020-07-21,META,241.75,246.91,240.08,246.22,19409687.0
2020-07-21,PFE,33.5225,33.8767,33.3673,33.7499,24555618.164815
2020-07-21,BNTX,90.7299,96.8908,89.1946,91.1261,6092322.2136201
2020-07-21,MRNA,80.86,82.43,79.07,80.91,26185580.0
2020-07-20,AMZN,159.842,160.068,149.701,150.01,151963520.0
2020-07-20,GOOGL,78.192,78.4505,75.1348,75.75,30165540.0
2020-07-20,META,245.42,246.05,235.635,240.06,20872223.0
2020-07-20,PFE,33.3488,34.3715,33.1829,34.2534,38230350.67497
2020-07-20,BNTX,87.3622,95.1771,84.9553,90.875,7865476.4772516
2020-07-20,MRNA,82.68,90.85,78.05,87.86,78391296.0
2020-07-17,AMZN,148.098,151.2,147.422,150.45,95226380.0
2020-07-17,GOOGL,75.8425,76.1715,74.905,75.8455,34264620.0
2020-07-17,META,242.03,244.16,237.86,241.0,18152413.0
